id,body,owner_id
117508,can we proceed with Lasso and say columns which have higher magnitude of the coefficient are more important?,317984
119445,nan,312376
117938,We need to convert the MSSubclass column to dummy since it is actually mapped to categorical variables. Can anyone confirm ?,318756
118156,nan,300721
117836,Electrical field has one NA value. Can we straightaway drop this row? LotFrontage has certain NA values. According to its definition it says its Linear feet of street connected to property. So can replace it with 0 (meaning no feet assigned) MasVnrTpe and MasVnrArea have NA values . They are both dependent. Can we delete these rows too? How to deal with GarageYrBlt?,301114
118417,"In the car pricing example, i noticed that the scaling was done before train and test split, which is contrary to what was taught earlier. Any reason why it was done in this manner?",310509
117880,"Say train accuracy is 90% and test accuracy is 70% which is overfitting. As we adjust hyperparameter lambda, we get say test accuracy down to 80% and train accuracy of 80%; is that the conclusion of finetuning the model ? in simple words, my question is ""should r2_score of test and train match before deriving result coefficients ? """,309211
117518,I get different values of Alpha in Ridge and Lasso .. is it fine?Or did something went wrong somewhere,319759
117605,The year column GarageYrBlt (Float type) (The year of garage built) contains few NA values. Any suggestions on how to impute the column values?,311115
117950,"CODE: lm = Lasso(alpha=0.001) lm.fit(X_train, y_train) # predict y_train_pred = lm.predict(X_train) print(metrics.r2_score(y_true=y_train, y_pred=y_train_pred)) y_test_pred = lm.predict(X_test) print(metrics.r2_score(y_true=y_test, y_pred=y_test_pred)) ERROR: NameError Traceback (most recent call last) &lt;ipython-input-373-eecc84d10559&gt; in &lt;module&gt;() 6 # predict 7 y_train_pred = lm.predict(X_train) ----&gt; 8 print(metrics.r2_score(y_true=y_train, y_pred=y_train_pred)) 9 y_test_pred = lm.predict(X_test) 10 print(metrics.r2_score(y_true=y_test, y_pred=y_test_pred)) NameError: name &#39;metrics&#39; is not defined",316036
118441,nan,303228
117468,"Please help in overcoming this error : &quot;# scaling the features from sklearn.preprocessing import scale # storing column names in cols, since column names are (annoyingly) lost after # scaling (the df is converted to a numpy array) cols = X.columns X = pd.DataFrame(scale(X)) X.columns = cols X.columns&quot; I get the error : ValueError: could not convert string to float: &#39;Normal&#39; I try to find which columns are float variables in X - X_float = X.select_dtypes(include=[&#39;float64&#39;]) X_float I get - the serial number column - 0,1,2,3..as the output. None of the other columns are of float type. And there is no entry of &quot;Normal&quot; in serial number.",319759
117267,What re these L1 and L2 regularisations in regressions that are asked? Are they referring to Ridge and LAsso methods?,308437
118448,For the models the R2 score for train is coming close to 0.9 and for test it is close to 0.7. How could this be happening? How to resolve this ?,318479
117276,nan,318455
118433,Will it be fine to remove rows with 'NA' in following coloumns BsmtQual BsmtCond BsmtExposure BsmtFinType1 BsmtFinType2 Similarly in Garage type columns.,318772
118086,"From the coeffiecients obtained after Lasso Regression, how do we map them with the features and find out the final significant variables?",318804
118367,"After performing Lasso, the no. of features with non zero coeff are too many. moreover they suffer from multicollinearity. How to remove it?",304319
118100,nan,308635
118650,"In the example of car price, scaling of features is down first and then test train split is done....but we don't want test data to see the scaling done...hence we need to perform split first and then scaling right... Pls correct my understanding",308437
118102,"In the Adavance Regression assignment categorical variables like Neighborhood, Exterior1st have more than 10 unique values. For example Neighborhood has 25 unique values. How to handle these values, shall I just go ahead and create dummies get like 25 dummies for Neighborhood only. If I do like this including categorical variables I would get more 200 predictors columns. Is there any better way to handle this type of scenario?",301118
118103,"Columns like Yrsold, GarageYrBlt etc., have year as values. Should these variables be treated as categorical or numeric variables ? Also, columns like FirePlaces, GarageCars etc., have distinct numeric values. Should these be treated as categorical or numeric variables ?",313691
117317,"EDA, RFE, Ridge using RFE and Cross Validation, Lasso using Cross Validation.",310419
117322,I see that you cannot drop any columns (totally there are 80 excluding target variable). Hence we need to do RFE to bring down no of features and then build model right.,308437
117745,what the best way to select linear model I mean constant should be less to co efficient of the dependent variable to be less ?,312019
118074,I understand that LassoCV/RidgeCV are models that train on cross-valiation sets and are helpful in hyperparameter tuning. How does this differ from GridSearchCV? Is Lasso+GridSearhCV equivalent to LassoCV? Or should GridSearchCV be used with LassoCV as an estimator as well? What could be the pros/cons of each?,318438
118044,"As per question we need to build a regression model using regularization. Does this mean we need to create linear regression model? If yes, RFE is returning different columns each time the code is run. Any suggestion how tvo tackle this.",320103
117336,nan,314678
117760,"Do we evaluate on R2 Score, RMSE?",304319
118134,nan,303228
118082,nan,318005
117774,nan,314678
117359,nan,318455
118161,The graph does show some alpha value for feature selection. How can we be sure that what we have selected is correct. Should we need to find R2 score for different alpha value selected and the come to a conclusion?,301114
118492,"When I tried to remove outliers for a column by column, I got only 490 records against 1400 records... Can I continue with 490 records only or should I ignore outliers and build the model?",317073
118172,nan,300988
117277,"For many of columns value is NA, which i understood is not a &quot;NULL&quot; value and means a specific value for that column. e.g. Fence: Fence quality GdPrv Good Privacy MnPrv Minimum Privacy GdWo Good Wood MnWw Minimum Wood/Wire NA No Fence So in this case I believe we need to treat this as a value and not &quot;NULL. Please suggest.",320103
117816,"I replaced NAN with 0 in LotFrontage column, not sure if its the correct thing to do. can you please advice?",316036
118785,Cv_results = pd.dataframe (model_cv.cv_results_) Cv_results= cv_results[cv_results[param_alpha]<=200] What is happening in the above code Can anyone explain in detail?? Why,308437
117695,"if outliers pertaining to all the numerical features are handled, then more than 50% records are getting removed. will it be correct to do so?",311686
118214,nan,310472
118236,nan,317575
